City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
Nome,75,US,1561747535,58,30.04,-94.42,91.4,0.51
George,31,MW,1561747690,68,-15.35,34.83,58.37,0.51
Kapaa,90,US,1561747560,88,22.08,-159.32,78.8,0.65
Lusambo,50,CD,1561747672,55,-4.97,23.44,76.01,0.72
Angoram,95,PG,1561747570,97,-4.06,144.07,73.85,0.83
Ilebo,53,CD,1561747677,56,-4.33,20.59,77.99,0.94
Santiago,99,PH,1561747651,92,16.69,121.54,73.13,1.01
Yantai,100,CN,1561747657,38,37.53,121.39,71.01,1.01
Lwowek Slaski,5,PL,1561747658,65,51.11,15.59,72,1.01
Simao,100,CN,1561747638,95,22.76,100.79,68.27,1.03
Huilong,8,CN,1561747637,89,31.15,106.5,66.47,1.07
Ngaoundere,83,CM,1561747658,94,7.32,13.58,67.91,1.19
Kidal,80,ML,1561747551,23,18.44,1.41,94.19,1.23
Meiganga,100,CM,1561747645,94,6.52,14.29,67.01,1.25
Vaini,100,IN,1561747573,88,15.34,74.49,76.01,1.34
Inirida,20,CO,1561747667,59,3.87,-67.92,89.87,1.41
Qaanaaq,29,GL,1561747576,46,77.48,-69.36,48.11,1.48
Mae Sai,20,MM,1561747639,83,20.44,99.89,80.6,1.5
Khandyga,73,RU,1561747686,43,62.65,135.58,56.21,1.54
Ulaangom,0,MN,1561747651,43,49.98,92.07,61.43,1.57
Pasighat,93,IN,1561747640,97,28.06,95.33,69.71,1.7
Lamu,66,CN,1561747652,63,35.77,102.37,51.35,1.74
Labuhan,10,ID,1561747550,92,-2.54,115.51,69.89,1.79
Beyla,100,GN,1561747643,92,8.69,-8.65,74.75,1.83
Vanavara,44,RU,1561747606,61,60.35,102.28,63.23,1.83
Shangrao,100,CN,1561747664,90,28.45,117.97,79.25,1.95
Hemsedal,71,NO,1561747641,58,60.86,8.55,62.01,1.99
Tuatapere,100,NZ,1561747647,83,-46.13,167.69,44.01,1.99
Port Alfred,51,ZA,1561747550,87,-33.59,26.89,57.99,1.99
Mataura,89,NZ,1561747562,83,-46.19,168.86,44.01,1.99
Indian Head,88,CA,1561747661,49,50.53,-103.67,82,1.99
